generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.032,0.0195406,0.005,0
10000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.429457,-0.0354873,0.000150072,0
20000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.126163,0.132755,0.000918581,0
20000,Calcarius_ornatus,NA,20.6725,1.32231,-0.12655,2.61251,0
20000,Atlapetes_forbesi,Atlapetes_albofrenatus,17.2455,0.793134,0.0564364,0.0260522,0
20000,Arremon_brunneinucha,NA,20.8352,0.835211,0.00143753,0.0588488,0
20000,Sporophila_bouvreuil,Sporophila_minuta,19.0699,2.18317,0.030598,1.55697,0
20000,Paroreomyza_montana,NA,17.404,0.0722246,-0.00972399,0.354084,0
30000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.119615,0.176857,0.000883592,0
30000,Sporophila_bouvreuil,Sporophila_minuta,19.6035,2.28011,0.00513619,1.19638,0
40000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.130828,0.000605138,0.00963696,0
40000,Geothlypis_flavovelata,Geothlypis_beldingi,20.0913,3.12057,-0.0168305,0.090744,0
40000,Artemisiospiza_belli,Artemisiospiza_nevadensis,20.0759,1.64033,-0.0560803,0.492549,0
40000,Phaenicophilus_palmarum,NA,19.255,1.13873,0.0467264,0.0275211,0
40000,Atlapetes_forbesi,Atlapetes_albofrenatus,17.7849,0.657927,-0.0482721,0.16897,0
40000,Sporophila_bouvreuil,Sporophila_minuta,19.979,1.73413,0.0977292,0.298761,0
40000,Microligea_palustris,Emberiza_cia,4.52153,0.992815,-0.116027,0.00929939,0
50000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.636984,-0.0583976,0.00478326,0
50000,Calcarius_lapponicus,NA,20.076,0.168341,0.019656,1.75483,0
50000,Atlapetes_forbesi,Atlapetes_pileatus,16.1668,0.640854,-0.00125662,0.210784,0
50000,Certhidea_olivacea,Pinaroloxias_inornata,18.9991,1.01326,0.0427378,0.1121,0
50000,Paroreomyza_montana,Euphonia_laniirostris,1.35739,0.0797576,0.0499021,0.208123,0
60000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.0366247,0.120272,0.0263314,0
60000,Geothlypis_flavovelata,Geothlypis_beldingi,20.1512,1.58882,-0.0149408,0.0915691,0
60000,Pipilo_ocai,Atlapetes_forbesi,15.48,1.26923,-0.0921174,0.421426,0
60000,Emberiza_bruniceps,NA,19.5262,0.096528,-0.0348148,1.71732,0
60000,Sporophila_bouvreuil,Sporophila_simplex,16.6053,1.17529,0.0694057,0.690732,0
60000,Rhodinocichla_rosea,NA,8.14676,0.691232,-0.0518581,0.659376,0
60000,Microligea_palustris,Rhodinocichla_rosea,3.87271,1.1051,-0.118251,5.03521e-06,0
70000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.932139,-0.0844616,0.0117806,0
70000,Pipilo_ocai,Atlapetes_forbesi,15.2954,0.691329,-0.0674607,0.00690853,0
70000,Sicalis_luteocephala,NA,20.3947,0.199802,0.0187608,0.831798,0
70000,Diglossa_carbonaria,Diglossa_brunneiventris,20.2677,1.73326,0.0379147,0.989999,0
80000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.508997,-0.112717,0.0181945,0
80000,Geothlypis_semiflava,Geothlypis_flavovelata,18.281,1.1793,0.0250263,1.30762,0
80000,Atlapetes_forbesi,Atlapetes_albofrenatus,17.8251,0.948452,-0.0415354,0.658094,0
80000,Diglossa_carbonaria,Diglossa_brunneiventris,20.3378,5.59471,-0.00787513,1.04978,0
80000,Saltator_striatipectus,NA,20.2209,0.0473437,-0.0418166,0.757338,0
80000,Sporophila_bouvreuil,Sporophila_minuta,20.1019,1.56894,-0.0387832,0.640781,0
80000,Thlypopsis_sordida,Thlypopsis_inornata,19.3092,0.955606,0.0236034,1.60889,0
80000,Microligea_palustris,Emberiza_cia,4.19257,1.15499,-0.126463,0.00524119,0
90000,Rhynchophanes_mccownii,Paroreomyza_montana,0,1.58226,-0.117676,0.00531746,0
90000,Icterus_melanopsis,Sturnella_magna,10.9933,0.52428,-0.0595809,0.0924168,0
90000,Setophaga_caerulescens,NA,20.502,0.234085,-0.0188889,1.46141,0
90000,Parkesia_noveboracensis,Helmitheros_vermivorum,13.5618,0.93949,-0.125571,0.154073,0
90000,Atlapetes_forbesi,Atlapetes_albofrenatus,17.3072,1.00594,-0.0661063,0.0421072,0
90000,Thlypopsis_ornata,Thlypopsis_pectoralis,20.3004,0.964531,-0.0830864,0.166041,0
90000,Sporophila_bouvreuil,Sporophila_minuta,19.4991,1.6693,-0.0955367,0.48899,0
90000,Rhodinocichla_rosea,NA,11.5393,0.119544,0.0341128,0.784512,0
90000,Paroreomyza_montana,Euphonia_laniirostris,0.442414,0.383414,-0.120289,0.0638232,0
100000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.865187,-0.0831424,0.00494622,0
100000,Parkesia_noveboracensis,Seiurus_aurocapilla,13.0409,0.88607,-0.136712,0.000903464,0
100000,Atlapetes_forbesi,Atlapetes_pileatus,15.6502,0.625878,-0.0256641,0.315072,0
100000,Diglossa_carbonaria,Diglossa_brunneiventris,20.3041,2.75334,-0.0249617,1.08317,0
100000,Sporophila_bouvreuil,Sporophila_cinnamomea,20.2947,3.75987,0.0123649,2.33856,0
110000,Rhynchophanes_mccownii,Paroreomyza_montana,0,1.09953,-0.101576,0.000868489,0
110000,Icterus_melanopsis,Cassiculus_melanicterus,11.6787,1.04267,-0.145657,0.0307335,0
110000,Parkesia_noveboracensis,Basileuterus_lachrymosus,13.8613,1.24955,-0.203774,0.12394,0
110000,Artemisiospiza_belli,Artemisiospiza_nevadensis,19.4149,1.27883,-0.0175326,1.9269,0
110000,Pipilo_ocai,Atlapetes_forbesi,15.2802,0.337231,0.104209,0.0953793,0
110000,Sporophila_albogularis,Sporophila_lineola,14.5036,0.553477,0.0334152,0.120413,0
110000,Certhidea_olivacea,Tiaris_fuliginosus,17.8861,1.51285,-0.0511229,0.738932,0
110000,Emberiza_pusilla,NA,19.7282,2.36698,0.110825,0.805815,0
110000,Rhodinocichla_rosea,NA,12.0641,0.755199,0.0409958,1.36666,0
110000,Paroreomyza_montana,Euphonia_laniirostris,3.95307,0.540842,-0.00186175,0.647948,0
120000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.856516,-0.0916722,0.000792788,0
120000,Icterus_melanopsis,Parkesia_noveboracensis,8.18226,1.13284,-0.119146,0.00950709,0
120000,Atlapetes_forbesi,Atlapetes_pileatus,16.4074,1.05927,-0.0204338,0.592298,0
120000,Piranga_olivacea,NA,16.8132,0.133224,-0.0196382,0.119539,0
120000,Sporophila_albogularis,Sporophila_bouvreuil,16.1447,0.870691,-0.0607656,0.052595,0
120000,Coereba_flaveola,Tiaris_olivaceus,12.5734,0.86415,-0.0835619,0.497721,0
130000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.288207,-0.0404552,0.0795984,0
130000,Calcarius_pictus,NA,20.3237,0.0583738,0.0947596,2.57856,0
130000,Microligea_palustris,Spindalis_zena,8.15291,0.290432,-0.0743065,0.0602369,0
130000,Myioborus_brunniceps,Myioborus_pictus,16.922,1.23229,-0.101896,0.129107,0
130000,Pipilo_ocai,Atlapetes_forbesi,14.3071,0.451055,0.100003,0.000371453,0
130000,Sporophila_bouvreuil,Sporophila_minuta,20.1142,3.68178,0.040189,0.180733,0
130000,Microligea_palustris,Rhodinocichla_rosea,3.60285,1.12297,-0.112319,0.00700721,0
140000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.917646,-0.0920985,0.019621,0
140000,Pipilo_ocai,Atlapetes_forbesi,15.4988,0.618628,-0.0649456,0.0667563,0
140000,Spindalis_zena,NA,9.68477,0.704133,-0.0769851,0.695637,0
140000,Icterus_melanopsis,Parkesia_noveboracensis,8.41644,0.982157,-0.113791,0.00671424,0
140000,Sporophila_bouvreuil,Sporophila_minuta,20.047,3.90323,-0.034172,0.597067,0
140000,Certhidea_olivacea,Tiaris_fuliginosus,18.0117,1.40364,-0.0776584,0.168905,0
140000,Paroreomyza_montana,Euphonia_laniirostris,0.0259975,0.224796,-0.0372639,0.256134,0
150000,Rhynchophanes_mccownii,Paroreomyza_montana,0,1.17756,-0.110507,0.0028156,0
150000,Icterus_melanopsis,Parkesia_noveboracensis,8.34428,0.913741,-0.0987284,0.0413031,0
150000,Pipilo_ocai,Atlapetes_forbesi,15.3156,0.904207,-0.0737911,0.296734,0
150000,Ramphocelus_flammigerus,Ramphocelus_bresilius,17.8387,0.596491,0.0152713,0.263544,0
150000,Sporophila_albogularis,Sporophila_lineola,13.6411,1.89894,-0.086962,0.990957,0
150000,Loxipasser_anoxanthus,Tiaris_canorus,14.7151,0.737449,0.00791461,0.364899,0
150000,Rhodinocichla_rosea,NA,19.0778,0.643637,-0.0484688,1.86873,0
150000,Paroreomyza_montana,Euphonia_laniirostris,3.99676,1.16353,-0.0314727,1.19225,0
160000,Rhynchophanes_mccownii,Paroreomyza_montana,0,0.170745,0.00259903,0.086479,0
160000,Atlapetes_forbesi,Atlapetes_albofrenatus,17.7163,0.890324,-0.0769602,0.0993411,0
160000,Sporophila_bouvreuil,Sporophila_minuta,19.3438,1.1306,-0.0150013,0.407621,0
160000,Microligea_palustris,Emberiza_cia,4.45149,1.0104,-0.112185,0.00471854,0
170000,Rhynchophanes_mccownii,Paroreomyza_montana,0,1.36044,-0.109003,0.0187051,0
170000,Nesopsar_nigerrimus,NA,19.7003,2.09653,0.0149979,3.44431,0
170000,Icterus_melanopsis,Cassiculus_melanicterus,11.9282,1.16708,-0.121821,0.13351,0
170000,Parkesia_noveboracensis,Seiurus_aurocapilla,11.015,0.706617,-0.109021,0.0137747,0
170000,Atlapetes_forbesi,Atlapetes_pileatus,16.8732,0.880829,-0.0971175,0.0891912,0
170000,Sporophila_albogularis,Sporophila_lineola,14.3088,0.477213,0.0390076,0.01914,0
170000,Certhidea_olivacea,Tiaris_fuliginosus,17.7211,0.81709,-0.0435567,0.206869,0
170000,Emberiza_pallasi,NA,20.8192,0.0291308,-0.118835,1.99774,0
180000,Rhynchophanes_mccownii,Paroreomyza_montana,0,1.58822,-0.125702,0.00243127,0
180000,Icterus_melanopsis,Sturnella_magna,10.7211,0.675173,-0.0881008,0.0732658,0
180000,Parkesia_noveboracensis,Seiurus_aurocapilla,12.177,0.764596,-0.134376,0.0214733,0
180000,Pipilo_ocai,Atlapetes_forbesi,15.1843,0.698517,-0.103976,0.0467973,0
180000,Melozone_kieneri,NA,20.8976,1.5659,0.0488257,1.61078,0
180000,Idiopsar_brachyurus,Idiopsar_speculifer,20.7006,0.696797,-0.0761294,1.12619,0
180000,Sporophila_albogularis,Sporophila_lineola,12.8798,0.735033,-0.00772456,0.28755,0
180000,Certhidea_olivacea,Tiaris_fuliginosus,17.3314,1.66887,0.0123684,0.902252,0
180000,Paroreomyza_montana,NA,13.7288,0.204804,-0.0108025,0.551608,0
190000,Rhynchophanes_mccownii,Paroreomyza_montana,0,1.51691,-0.121333,0.0146787,0
190000,Icterus_parisorum,NA,19.7384,1.16299,-0.0704799,2.07568,0
