generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.58765,-10264.4,1,0
1000,0,-11.5215,-3870.51,0.0166054,0.304
2000,0,-11.6596,-3793.83,0.183689,0.325
3000,0,-5.6355,-3766.96,0.857846,0.324
4000,0,-9.06468,-3772.37,1.32849,0.332
5000,1,-9.03047,-3746.28,0.139645,0.335
6000,5,-17.6927,-3675.08,1.47342,0.317
7000,1,-7.32156,-3641.03,2.29943,0.335
8000,4,-16.4343,-3595.92,2.9138,0.347
9000,0,-5.54384,-3577.78,0.550113,0.284
10000,0,-5.06212,-3578.75,0.0702685,0.307
11000,1,-6.94598,-3565.39,0.0210511,0.309
12000,2,-9.99471,-3505.17,1.64809,0.293
13000,2,-8.30811,-3460.04,1.07419,0.309
14000,2,-14.7053,-3452.99,3.479,0.307
15000,4,-13.2352,-3439.82,2.99314,0.287
16000,2,-11.4628,-3435.11,2.6151,0.303
17000,4,-14.0814,-3411.45,1.41077,0.297
18000,5,-19.4198,-3412.96,5.40553,0.291
19000,5,-13.488,-3403.48,2.96242,0.29
20000,5,-14.7625,-3409.91,2.61235,0.293
21000,3,-15.9784,-3375.49,2.36128,0.301
22000,6,-20.5424,-3365.81,6.2898,0.293
23000,3,-12.6418,-3367.14,2.63176,0.295
24000,4,-13.4144,-3376.23,1.42574,0.281
25000,4,-14.5139,-3371.38,3.49263,0.295
26000,3,-10.6763,-3387.53,1.26207,0.258
27000,3,-8.59129,-3381.96,0.855858,0.301
28000,7,-20.9631,-3361.75,4.56256,0.269
29000,2,-8.73034,-3363.05,1.376,0.274
30000,3,-14.4831,-3360.85,3.7691,0.261
31000,4,-11.8795,-3358.97,1.19108,0.284
32000,3,-10.2523,-3345.8,0.944003,0.308
33000,3,-10.9168,-3357.96,2.67219,0.289
34000,5,-23.8074,-3350.2,3.57607,0.265
35000,5,-17.3316,-3342.03,2.89742,0.298
36000,3,-9.93331,-3325.6,1.88883,0.296
37000,2,-7.85632,-3321.27,0.757581,0.28
38000,3,-9.72317,-3322.8,2.37127,0.251
39000,2,-7.9813,-3308.2,1.91211,0.254
40000,2,-7.76504,-3292.66,1.79935,0.278
41000,2,-9.12971,-3291.01,2.92457,0.251
42000,6,-15.2186,-3287.39,2.03527,0.28
43000,3,-10.5108,-3286.22,2.88633,0.278
44000,5,-14.3922,-3282.11,1.88823,0.275
45000,4,-14.3224,-3301.79,4.45423,0.279
46000,4,-13.1922,-3305.95,0.834913,0.269
47000,6,-22.894,-3292.46,3.24596,0.264
48000,3,-14.181,-3282.01,2.79728,0.264
49000,1,-9.03033,-3274.96,0.618166,0.242
50000,2,-9.265,-3285.9,1.14111,0.255
51000,5,-17.7385,-3315.46,2.80148,0.264
52000,2,-8.54372,-3323.65,0.473876,0.276
53000,6,-15.4089,-3293.27,3.30625,0.296
54000,3,-13.1765,-3277.35,1.95439,0.294
55000,2,-10.1714,-3265.35,1.11771,0.259
56000,1,-7.27411,-3266.7,1.39935,0.251
57000,2,-9.25661,-3273.17,2.33679,0.267
58000,1,-5.73139,-3252.31,0.681967,0.261
59000,2,-8.75421,-3273.28,1.08131,0.269
60000,3,-10.891,-3266.69,1.42476,0.286
61000,2,-7.626,-3251.37,0.857788,0.27
62000,4,-12.8141,-3261.84,3.58751,0.269
63000,4,-12.4097,-3258.44,4.14395,0.279
64000,3,-13.1069,-3263.7,1.2601,0.248
65000,2,-8.5311,-3277.68,1.30312,0.254
66000,2,-6.89153,-3261.89,0.887098,0.265
67000,2,-9.57613,-3263.04,3.25791,0.283
68000,2,-7.81124,-3266.59,0.80189,0.262
69000,1,-6.57912,-3273.23,1.3894,0.266
